_date,total_clones,unique_clones
2021-01-18,2,2
2021-01-19,1,1
2021-01-20,1,1
2021-01-21,1,1
2021-01-22,1,1
2021-01-23,1,1
2021-01-24,1,1
2021-01-25,3,3
2021-01-26,3,3
2021-01-27,4,3
2021-01-28,6,4
2021-01-29,4,2
2021-01-30,2,2
2021-01-31,4,3
